'EmployeeID','Department.ID','HourlyRate','Vehicle','DistanceFromHome','University.ID','TotalWorkingYears','JobInvolvement','Age','BusinessTravel','Education.years','EducationField','Gender','MaritalStatus','NumCompaniesWorked','OverTime','JobRole'
1692,2,95,3,2,7,1,3,32,'Travel_Rarely',4,'Life Sciences','Male','Single',1,'No','Laboratory Technician'
1762,2,91,1,4,4,1,2,29,'Travel_Rarely',3,'Technical Degree','Female','Divorced',1,'No','Research Scientist'
1783,2,79,5,8,2,1,3,22,'Travel_Rarely',1,'Medical','Female','Married',1,'Yes','Laboratory Technician'
1868,2,73,1,24,18,1,2,29,'Travel_Frequently',2,'Life Sciences','Male','Single',1,'Yes','Research Scientist'
1878,2,75,2,7,1,1,3,22,'Travel_Rarely',1,'Life Sciences','Male','Single',1,'Yes','Research Scientist'
1893,2,90,3,1,14,1,2,26,'Travel_Rarely',2,'Life Sciences','Female','Married',1,'Yes','Research Scientist'
1974,2,59,1,2,4,1,1,31,'Travel_Rarely',1,'Medical','Female','Divorced',1,'Yes','Laboratory Technician'
1994,2,59,1,1,20,1,2,33,'Non-Travel',2,'Medical','Male','Divorced',1,'No','Laboratory Technician'
235,3,100,3,1,10,1,1,19,'Travel_Frequently',1,'Technical Degree','Female','Single',0,'No','Sales Representative'
485,3,34,4,5,16,1,3,33,'Travel_Rarely',3,'Marketing','Female','Single',1,'Yes','Sales Representative'
494,3,90,2,12,16,1,4,21,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Sales Representative'
508,3,72,5,2,15,1,3,30,'Travel_Rarely',1,'Technical Degree','Male','Married',1,'No','Sales Representative'
648,3,74,5,12,14,1,2,30,'Travel_Frequently',4,'Life Sciences','Male','Married',1,'No','Sales Representative'
749,3,99,1,10,11,1,3,29,'Travel_Rarely',3,'Life Sciences','Male','Single',1,'No','Sales Representative'
952,3,36,4,19,16,1,2,25,'Travel_Rarely',2,'Marketing','Male','Married',1,'Yes','Sales Representative'
959,3,37,2,21,6,1,2,19,'Travel_Rarely',3,'Other','Male','Single',1,'Yes','Sales Representative'
1055,3,87,5,10,16,1,3,34,'Travel_Rarely',4,'Life Sciences','Female','Married',1,'Yes','Sales Representative'
1056,3,74,3,10,11,1,3,28,'Travel_Rarely',1,'Medical','Male','Married',1,'No','Sales Representative'
1190,3,76,3,2,20,1,3,32,'Non-Travel',1,'Life Sciences','Female','Divorced',1,'No','Sales Representative'
1273,3,73,1,24,2,1,1,25,'Travel_Frequently',1,'Life Sciences','Male','Single',1,'Yes','Sales Representative'
1427,3,50,5,1,3,1,1,31,'Travel_Frequently',4,'Life Sciences','Female','Single',1,'No','Sales Representative'
1492,3,76,5,7,4,1,3,35,'Travel_Rarely',1,'Life Sciences','Male','Married',1,'No','Sales Representative'
1495,3,78,5,13,18,1,3,24,'Non-Travel',2,'Life Sciences','Female','Married',1,'No','Sales Representative'
1780,3,31,4,7,5,1,3,21,'Travel_Rarely',1,'Marketing','Male','Single',1,'No','Sales Representative'
1875,3,78,1,3,5,1,3,28,'Travel_Rarely',3,'Medical','Female','Married',1,'No','Sales Representative'
1876,3,89,4,9,9,1,3,30,'Travel_Rarely',3,'Medical','Male','Single',1,'No','Sales Representative'
1928,3,45,4,24,3,1,4,29,'Travel_Frequently',3,'Technical Degree','Male','Single',1,'No','Sales Representative'
2023,3,33,3,9,3,1,3,23,'Travel_Frequently',3,'Marketing','Male','Married',1,'No','Sales Representative'
1467,1,52,4,9,19,2,3,34,'Travel_Rarely',4,'Technical Degree','Female','Married',1,'No','Human Resources'
1842,1,89,5,18,17,2,4,31,'Travel_Rarely',5,'Human Resources','Male','Married',0,'No','Human Resources'
65,2,50,2,5,12,2,3,28,'Travel_Rarely',4,'Technical Degree','Male','Single',1,'Yes','Laboratory Technician'
90,2,79,3,9,10,2,2,36,'Travel_Rarely',3,'Medical','Male','Married',0,'Yes','Research Scientist'
143,2,64,5,7,17,2,2,25,'Travel_Rarely',1,'Medical','Male','Married',1,'No','Research Scientist'
217,2,80,4,19,20,2,3,22,'Travel_Rarely',1,'Medical','Male','Married',1,'No','Research Scientist'
245,2,75,3,9,14,2,3,38,'Travel_Rarely',2,'Life Sciences','Female','Single',1,'No','Laboratory Technician'
338,2,63,2,5,11,2,2,33,'Travel_Rarely',4,'Life Sciences','Female','Married',1,'No','Research Scientist'
511,2,43,3,11,20,2,3,22,'Travel_Rarely',3,'Medical','Female','Married',1,'No','Research Scientist'
784,2,79,2,10,12,2,4,23,'Travel_Rarely',1,'Medical','Male','Single',1,'No','Research Scientist'
1131,2,70,1,1,5,2,2,21,'Travel_Rarely',1,'Technical Degree','Female','Single',1,'Yes','Research Scientist'
1160,2,72,1,15,16,2,3,31,'Travel_Frequently',3,'Medical','Male','Married',1,'No','Laboratory Technician'
1185,2,47,4,4,7,2,2,35,'Travel_Frequently',4,'Other','Male','Married',1,'No','Laboratory Technician'
1198,2,87,4,3,14,2,2,20,'Travel_Rarely',3,'Life Sciences','Male','Single',1,'No','Laboratory Technician'
1234,2,77,4,13,12,2,2,32,'Travel_Frequently',3,'Other','Female','Married',1,'No','Laboratory Technician'
1265,2,89,3,20,15,2,4,34,'Travel_Rarely',3,'Technical Degree','Female','Married',0,'No','Research Scientist'
1279,2,45,3,10,17,2,2,21,'Travel_Frequently',2,'Life Sciences','Female','Single',1,'No','Laboratory Technician'
1296,2,52,3,2,18,2,2,28,'Travel_Frequently',3,'Life Sciences','Male','Married',1,'Yes','Laboratory Technician'
1303,2,40,5,1,4,2,3,25,'Travel_Rarely',3,'Medical','Female','Single',1,'No','Research Scientist'
1308,2,88,3,23,6,2,3,58,'Travel_Rarely',4,'Life Sciences','Male','Divorced',1,'No','Research Scientist'
1551,2,57,3,21,20,2,2,24,'Travel_Rarely',2,'Technical Degree','Male','Divorced',0,'No','Laboratory Technician'
49,3,97,4,2,17,2,3,35,'Travel_Rarely',3,'Marketing','Female','Married',1,'No','Sales Representative'
399,3,84,5,5,15,2,3,31,'Travel_Frequently',3,'Marketing','Female','Divorced',1,'No','Sales Representative'
766,3,83,4,10,13,2,3,29,'Travel_Rarely',3,'Marketing','Male','Divorced',1,'No','Sales Representative'
922,3,49,3,2,13,2,2,20,'Travel_Rarely',3,'Medical','Female','Single',1,'No','Sales Representative'
1077,3,54,1,9,20,2,3,20,'Travel_Frequently',3,'Marketing','Female','Single',1,'Yes','Sales Representative'
1226,3,43,2,21,20,2,4,20,'Travel_Rarely',3,'Marketing','Male','Single',1,'No','Sales Representative'
1657,3,31,2,2,9,2,3,20,'Travel_Rarely',3,'Medical','Female','Single',1,'No','Sales Representative'
1680,3,54,2,9,20,2,3,20,'Travel_Rarely',1,'Life Sciences','Male','Single',1,'No','Sales Representative'
1752,3,52,4,9,16,2,1,29,'Travel_Rarely',3,'Marketing','Female','Single',1,'No','Sales Representative'
2021,3,58,3,5,14,2,3,21,'Travel_Rarely',1,'Medical','Male','Single',1,'Yes','Sales Representative'
1746,1,59,4,10,16,3,3,24,'Travel_Frequently',3,'Medical','Male','Married',0,'No','Human Resources'
1858,1,43,3,1,7,3,3,28,'Non-Travel',2,'Life Sciences','Male','Divorced',1,'No','Human Resources'
18,2,93,2,19,10,3,3,34,'Travel_Rarely',2,'Medical','Male','Divorced',0,'No','Laboratory Technician'
169,2,100,2,2,10,3,3,22,'Travel_Rarely',1,'Technical Degree','Male','Married',0,'No','Laboratory Technician'
379,2,100,4,3,13,3,2,21,'Travel_Rarely',2,'Medical','Male','Single',1,'No','Research Scientist'
426,2,32,4,2,6,3,3,31,'Travel_Rarely',4,'Life Sciences','Male','Divorced',0,'Yes','Research Scientist'
493,2,42,2,9,8,3,2,31,'Travel_Rarely',4,'Life Sciences','Male','Single',0,'Yes','Research Scientist'
514,2,40,4,4,13,3,3,30,'Travel_Frequently',3,'Technical Degree','Male','Single',9,'Yes','Research Scientist'
560,2,90,1,23,3,3,3,26,'Travel_Rarely',3,'Life Sciences','Female','Divorced',1,'No','Research Scientist'
675,2,69,4,6,5,3,3,22,'Travel_Rarely',1,'Medical','Male','Married',0,'No','Research Scientist'
686,2,71,5,6,2,3,3,26,'Travel_Rarely',3,'Life Sciences','Female','Married',1,'Yes','Laboratory Technician'
918,2,57,1,2,8,3,2,58,'Travel_Frequently',1,'Life Sciences','Male','Divorced',9,'Yes','Laboratory Technician'
964,2,35,5,9,1,3,3,40,'Travel_Frequently',4,'Medical','Male','Divorced',8,'Yes','Research Scientist'
994,2,92,2,10,7,3,2,29,'Travel_Rarely',3,'Life Sciences','Female','Single',6,'Yes','Research Scientist'
1006,2,66,2,10,13,3,3,38,'Travel_Frequently',1,'Medical','Male','Married',0,'No','Research Scientist'
1028,2,45,3,10,17,3,3,35,'Travel_Rarely',3,'Other','Male','Divorced',1,'No','Laboratory Technician'
1094,2,87,2,8,5,3,1,27,'Non-Travel',5,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
1154,2,39,5,6,20,3,2,28,'Travel_Frequently',3,'Life Sciences','Male','Divorced',1,'Yes','Research Scientist'
1249,2,97,5,1,6,3,3,29,'Travel_Rarely',3,'Life Sciences','Female','Divorced',1,'No','Research Scientist'
1564,2,68,2,1,15,3,2,35,'Travel_Rarely',3,'Medical','Male','Single',1,'No','Laboratory Technician'
1623,2,97,1,5,15,3,3,21,'Travel_Rarely',1,'Medical','Male','Single',1,'No','Research Scientist'
1718,2,62,2,17,20,3,1,26,'Travel_Rarely',4,'Medical','Male','Married',1,'No','Laboratory Technician'
1735,2,51,2,4,1,3,3,23,'Travel_Rarely',1,'Medical','Female','Single',1,'No','Laboratory Technician'
1834,2,67,1,1,5,3,3,28,'Travel_Rarely',3,'Medical','Female','Married',1,'No','Research Scientist'
47,3,86,5,3,19,3,2,50,'Travel_Rarely',2,'Marketing','Male','Married',1,'Yes','Sales Representative'
113,3,62,3,2,1,3,3,23,'Travel_Rarely',1,'Technical Degree','Male','Divorced',3,'No','Sales Representative'
478,3,99,5,1,12,3,2,21,'Travel_Frequently',1,'Technical Degree','Female','Single',1,'Yes','Sales Representative'
484,3,39,4,9,12,3,3,21,'Non-Travel',2,'Medical','Male','Single',1,'No','Sales Representative'
555,3,33,1,6,20,3,1,34,'Travel_Frequently',2,'Marketing','Female','Divorced',0,'No','Sales Representative'
632,3,38,5,24,15,3,3,24,'Travel_Frequently',3,'Medical','Male','Married',0,'No','Sales Representative'
669,3,49,2,22,5,3,3,21,'Travel_Rarely',1,'Technical Degree','Male','Single',1,'No','Sales Representative'
805,3,72,5,8,7,3,3,35,'Travel_Rarely',4,'Life Sciences','Female','Married',1,'No','Sales Representative'
893,3,98,1,9,14,3,2,38,'Travel_Rarely',3,'Marketing','Male','Married',0,'No','Sales Representative'
925,3,65,5,2,13,3,2,47,'Travel_Rarely',4,'Life Sciences','Female','Single',1,'Yes','Sales Representative'
974,3,84,5,20,2,3,3,29,'Travel_Frequently',3,'Technical Degree','Female','Married',1,'No','Sales Representative'
1044,3,88,1,8,12,3,2,33,'Non-Travel',1,'Life Sciences','Female','Single',0,'No','Sales Representative'
1135,3,67,4,20,14,3,4,31,'Travel_Frequently',3,'Life Sciences','Male','Married',0,'No','Sales Representative'
1331,3,54,1,1,20,3,3,31,'Travel_Frequently',3,'Life Sciences','Female','Single',1,'Yes','Sales Representative'
1379,3,90,2,2,1,3,2,31,'Travel_Frequently',3,'Life Sciences','Female','Single',7,'No','Sales Representative'
1702,3,99,4,7,16,3,3,23,'Travel_Rarely',3,'Life Sciences','Male','Divorced',1,'Yes','Sales Representative'
1996,3,54,4,2,10,3,3,31,'Travel_Rarely',2,'Life Sciences','Male','Married',0,'No','Sales Representative'
2013,3,68,4,1,11,3,2,32,'Travel_Rarely',4,'Medical','Male','Married',0,'No','Sales Representative'
470,1,52,1,2,4,4,3,42,'Travel_Rarely',1,'Technical Degree','Male','Divorced',0,'Yes','Human Resources'
847,1,88,1,3,12,4,3,34,'Travel_Rarely',2,'Human Resources','Male','Married',0,'No','Human Resources'
1844,1,56,2,13,13,4,2,29,'Travel_Rarely',3,'Human Resources','Male','Divorced',4,'Yes','Human Resources'
75,2,30,4,23,3,4,3,35,'Travel_Rarely',4,'Medical','Female','Married',3,'Yes','Laboratory Technician'
242,2,90,5,2,9,4,3,33,'Travel_Rarely',3,'Life Sciences','Male','Single',0,'No','Research Scientist'
284,2,60,1,5,10,4,4,22,'Travel_Rarely',3,'Life Sciences','Male','Divorced',1,'Yes','Research Scientist'
315,2,86,4,18,19,4,2,29,'Travel_Rarely',1,'Medical','Male','Single',1,'Yes','Research Scientist'
331,2,62,5,1,9,4,2,32,'Travel_Rarely',3,'Life Sciences','Male','Single',0,'Yes','Laboratory Technician'
403,2,53,1,9,1,4,3,37,'Travel_Frequently',3,'Medical','Male','Married',1,'Yes','Research Scientist'
407,2,81,3,18,9,4,4,36,'Travel_Frequently',4,'Life Sciences','Male','Married',4,'No','Laboratory Technician'
434,2,85,1,5,18,4,3,27,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'Yes','Research Scientist'
455,2,30,4,9,18,4,2,29,'Travel_Rarely',5,'Other','Male','Single',0,'No','Laboratory Technician'
465,2,83,5,26,16,4,3,23,'Travel_Rarely',1,'Life Sciences','Male','Divorced',1,'No','Research Scientist'
530,2,98,3,1,13,4,2,31,'Travel_Rarely',2,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
593,2,99,5,4,1,4,2,22,'Travel_Frequently',1,'Technical Degree','Male','Single',5,'No','Laboratory Technician'
715,2,80,3,10,13,4,4,37,'Travel_Rarely',2,'Life Sciences','Male','Single',3,'No','Research Scientist'
872,2,33,3,1,13,4,2,22,'Travel_Rarely',2,'Life Sciences','Male','Married',6,'No','Manufacturing Director'
882,2,61,5,1,4,4,3,32,'Non-Travel',3,'Life Sciences','Male','Divorced',0,'No','Laboratory Technician'
920,2,55,1,8,8,4,3,43,'Travel_Rarely',3,'Life Sciences','Female','Divorced',4,'No','Manufacturing Director'
926,2,34,4,3,12,4,3,22,'Travel_Rarely',1,'Life Sciences','Female','Married',0,'Yes','Manufacturing Director'
991,2,46,2,9,10,4,2,31,'Non-Travel',2,'Medical','Male','Single',0,'Yes','Research Scientist'
1001,2,37,4,16,12,4,3,27,'Travel_Rarely',4,'Technical Degree','Female','Married',9,'No','Laboratory Technician'
1011,2,96,2,1,8,4,3,31,'Travel_Frequently',1,'Life Sciences','Female','Married',1,'No','Manufacturing Director'
1017,2,60,1,5,2,4,3,30,'Travel_Frequently',3,'Medical','Female','Single',0,'No','Laboratory Technician'
1019,2,94,3,8,3,4,1,22,'Travel_Rarely',1,'Life Sciences','Male','Married',1,'No','Laboratory Technician'
1027,2,47,3,2,1,4,3,27,'Travel_Rarely',4,'Life Sciences','Female','Married',0,'No','Manufacturing Director'
1102,2,50,4,15,5,4,3,28,'Travel_Rarely',2,'Life Sciences','Male','Divorced',1,'No','Laboratory Technician'
1162,2,55,4,6,10,4,2,27,'Travel_Rarely',3,'Life Sciences','Male','Married',1,'No','Research Scientist'
1291,2,66,2,6,20,4,3,35,'Travel_Rarely',1,'Life Sciences','Male','Married',0,'Yes','Research Scientist'
1382,2,57,4,7,20,4,4,38,'Travel_Frequently',3,'Life Sciences','Male','Divorced',1,'No','Research Scientist'
1494,2,89,5,9,7,4,3,24,'Travel_Frequently',3,'Medical','Male','Single',2,'Yes','Laboratory Technician'
1501,2,30,5,4,1,4,3,55,'Travel_Rarely',4,'Life Sciences','Male','Married',0,'Yes','Healthcare Representative'
1513,2,97,3,2,4,4,3,29,'Travel_Frequently',1,'Life Sciences','Female','Married',0,'No','Laboratory Technician'
1542,2,68,4,2,14,4,2,42,'Travel_Rarely',3,'Medical','Male','Married',4,'No','Laboratory Technician'
1592,2,45,5,10,15,4,4,23,'Travel_Rarely',3,'Technical Degree','Male','Married',2,'No','Research Scientist'
1605,2,85,1,26,4,4,2,22,'Non-Travel',2,'Other','Female','Married',1,'Yes','Research Scientist'
1662,2,33,5,1,2,4,2,36,'Non-Travel',4,'Medical','Female','Married',0,'No','Manufacturing Director'
1675,2,42,5,2,10,4,2,38,'Travel_Frequently',3,'Medical','Female','Single',1,'No','Laboratory Technician'
1886,2,44,5,16,5,4,2,35,'Travel_Rarely',2,'Other','Female','Married',0,'Yes','Manufacturing Director'
1916,2,62,3,4,9,4,4,31,'Travel_Rarely',3,'Medical','Female','Divorced',8,'No','Laboratory Technician'
1948,2,48,2,3,2,4,3,31,'Non-Travel',2,'Medical','Male','Divorced',1,'Yes','Research Scientist'
1981,2,45,4,1,8,4,2,24,'Travel_Rarely',2,'Life Sciences','Male','Single',1,'No','Healthcare Representative'
2007,2,63,1,1,7,4,3,22,'Travel_Rarely',2,'Life Sciences','Male','Single',0,'No','Research Scientist'
2027,2,36,3,1,1,4,3,29,'Travel_Rarely',4,'Medical','Male','Married',9,'Yes','Research Scientist'
2038,2,78,2,2,15,4,3,32,'Travel_Rarely',3,'Technical Degree','Male','Single',1,'No','Research Scientist'
2052,2,62,4,1,1,4,1,35,'Travel_Rarely',4,'Life Sciences','Female','Married',1,'No','Research Scientist'
128,3,33,2,3,9,4,3,24,'Travel_Rarely',2,'Other','Female','Married',0,'No','Sales Executive'
175,3,71,3,20,1,4,1,31,'Travel_Rarely',3,'Life Sciences','Female','Married',3,'Yes','Sales Executive'
248,3,70,4,20,16,4,3,41,'Travel_Rarely',2,'Marketing','Female','Single',1,'Yes','Sales Representative'
333,3,100,2,26,14,4,3,32,'Non-Travel',4,'Marketing','Male','Married',0,'No','Sales Executive'
469,3,61,2,2,2,4,3,29,'Non-Travel',3,'Life Sciences','Male','Married',1,'No','Sales Executive'
475,3,85,3,25,10,4,3,30,'Non-Travel',2,'Technical Degree','Female','Married',7,'Yes','Sales Executive'
585,3,57,5,7,3,4,3,30,'Travel_Rarely',1,'Marketing','Male','Single',0,'No','Sales Representative'
707,3,57,3,8,18,4,4,25,'Travel_Rarely',3,'Life Sciences','Male','Married',0,'No','Sales Executive'
720,3,65,3,3,7,4,3,24,'Travel_Rarely',2,'Life Sciences','Female','Single',9,'No','Sales Executive'
738,3,54,5,8,16,4,3,50,'Travel_Rarely',4,'Marketing','Male','Married',7,'No','Sales Representative'
916,3,98,1,5,17,4,3,28,'Travel_Rarely',4,'Medical','Male','Single',1,'No','Sales Executive'
1114,3,30,3,7,1,4,3,33,'Travel_Frequently',3,'Life Sciences','Female','Married',0,'No','Sales Executive'
1281,3,86,2,2,14,4,3,34,'Travel_Rarely',3,'Marketing','Female','Single',0,'Yes','Sales Executive'
1396,3,36,2,2,12,4,3,32,'Travel_Rarely',1,'Marketing','Male','Married',0,'Yes','Sales Executive'
1479,3,96,4,16,16,4,3,30,'Travel_Rarely',1,'Life Sciences','Male','Married',8,'No','Sales Executive'
1731,3,87,1,2,2,4,3,47,'Non-Travel',4,'Marketing','Male','Married',7,'No','Sales Executive'
1853,3,79,2,10,5,4,3,32,'Travel_Frequently',4,'Marketing','Male','Single',8,'No','Sales Executive'
1207,1,99,5,2,7,5,3,33,'Travel_Rarely',3,'Human Resources','Male','Married',1,'No','Human Resources'
16,2,31,2,26,3,5,3,31,'Travel_Rarely',1,'Life Sciences','Male','Divorced',1,'No','Research Scientist'
26,2,96,2,11,8,5,4,24,'Non-Travel',2,'Other','Female','Divorced',0,'No','Manufacturing Director'
88,2,79,4,1,4,5,3,35,'Travel_Frequently',3,'Medical','Male','Married',4,'No','Research Scientist'
97,2,55,2,6,20,5,4,36,'Travel_Rarely',3,'Life Sciences','Female','Married',3,'No','Laboratory Technician'
110,2,94,2,1,2,5,3,34,'Travel_Rarely',2,'Medical','Male','Married',1,'No','Manufacturing Director'
164,2,46,5,6,18,5,2,26,'Travel_Rarely',3,'Other','Female','Married',1,'No','Research Scientist'
194,2,75,2,18,20,5,3,30,'Travel_Rarely',3,'Life Sciences','Female','Single',1,'No','Research Scientist'
221,2,42,3,21,5,5,3,28,'Travel_Rarely',3,'Medical','Male','Married',1,'No','Research Scientist'
249,2,86,5,1,12,5,2,50,'Travel_Rarely',3,'Medical','Male','Married',2,'No','Laboratory Technician'
250,2,57,2,13,4,5,4,53,'Travel_Rarely',2,'Medical','Female','Divorced',1,'No','Manufacturing Director'
